brand,name,old_price,new_price,store
Adams,Adams Christmas 1550-99 Candle Clamps 8 pack (there are 2 packs of 4 in the bag),18.40,17.49,GrowKart
Majestic Giftware,"Majestic Giftware SC-HMC6L-MIX Safed Havdalah 6-Wick Candle, 14-Inch, Multi Color Mix",18.20,17.30,GrowKart
Wally's Natural Products,"Wally's Natural Products Wallys Natural KHFM00037392 Herbal Beeswax Ear Candles, 2 Count",34.63,16.91,"UnbeatableSale.com, Inc."
GOWA,"GOWA Christmas Advent Candles 6"" x 3/4"" Four Sets of 4 Unscented Candles 3 Purple 1 Pink per Set",17.76,16.88,GrowKart
CB,CB Four Piece Purple Pink Christmas Season 15 Hour Advent Candles,17.74,16.86,GrowKart
Design Imports,Design Imports Midwest Design Imports Design Imports Z02113 Happy Day-Honey Single Wick Candle - Set of 2,33.36,16.50,"UnbeatableSale.com, Inc."
Captivating Candles,Captivating Candles Fresh Baked Bread Scented Candle 8 oz,16.50,15.68,GrowKart
Store Indya,STORE INDYA Set of 5 Fancy Diyas Elephant Diya with tealight Holder | Home Decorations and Gift Items,23.49,15.66,Vir Ventures
Buyacandle.com,Buyacandle.com The Angel Necklace Candle - Candle with an Angel Pendant Hidden Inside of Each Candle!,16.47,15.66,GrowKart
Yankee Candle,Yankee Candle Company Scents Bangles | Leaf Branch Charm,16.43,15.62,GrowKart
Store Indya,STORE INDYA Set of 5 Fancy Pooja Diyas with tealight Holder Decorated with Roses | Home Decorations and Gift Items,23.37,15.58,Vir Ventures
blinkee,blinkee Frozen Light Up Snowflake Wand,24.35,15.22,Vir Ventures
Majestic Giftware,"Majestic Giftware SC-HBW6SET Safed Havdalah Candle with Spice Bag, 9.5-Inch, Blue-White",15.85,15.07,GrowKart
Thomas Nelson,Thomas Nelson The Christmas Candle,15.71,14.93,GrowKart
The Candle Daddy,The Candle Daddy Funny- Morning Wood- Christmas Tree- Blue Spruce Maximum Scent Wax Melts- 2 oz- 6 Cubes,13.91,13.22,GrowKart
Coventry Creations,Coventry Creations Wicked Witch Mojo Tornado Alley Candle by Dorothy Morrison,13.53,12.86,GrowKart
Ner Mitzvah,Ner Mitzvah Nickel Plated Candle Menorah,12.62,12.00,GrowKart
blinkee,blinkee Generic Green Fiber Optic Wands with Jade LEDs,18.93,11.83,Vir Ventures
Velodoras Misticas,Velodoras Misticas Run Devil Run Red Candle in Glass (Corre Diablo Corre) - Silk Screen,11.98,11.39,GrowKart
